condicion,anio,valor
Educación emprendedora (etapa escolar),2021,3.6
Educación emprendedora (etapa escolar),2022,5.1
Educación emprendedora (etapa escolar),2023,3.2
Educación emprendedora (etapa escolar),2024,3.0
Educación emprendedora (etapa escolar),2025,2.8
Normas sociales y culturales,2021,4.3
Normas sociales y culturales,2022,4.6
Normas sociales y culturales,2023,4.1
Normas sociales y culturales,2024,3.8
Normas sociales y culturales,2025,3.8
Financiación para emprendedores,2021,3.9
Financiación para emprendedores,2022,4.0
Financiación para emprendedores,2023,4.0
Financiación para emprendedores,2024,4.2
Financiación para emprendedores,2025,3.9
Dinámica del mercado interno,2021,3.7
Dinámica del mercado interno,2022,4.0
Dinámica del mercado interno,2023,4.5
Dinámica del mercado interno,2024,4.5
Dinámica del mercado interno,2025,4.8
Transferencia de I+D,2021,4.5
Transferencia de I+D,2022,4.5
Transferencia de I+D,2023,4.5
Transferencia de I+D,2024,4.7
Transferencia de I+D,2025,4.8
Educación emprendedora (etapa post),2021,4.9
Educación emprendedora (etapa post),2022,3.7
Educación emprendedora (etapa post),2023,5.3
Educación emprendedora (etapa post),2024,5.0
Educación emprendedora (etapa post),2025,4.8
Políticas gubernamentales (prioridad y apoyo),2021,4.9
Políticas gubernamentales (prioridad y apoyo),2022,4.9
Políticas gubernamentales (prioridad y apoyo),2023,5.0
Políticas gubernamentales (prioridad y apoyo),2024,5.1
Políticas gubernamentales (prioridad y apoyo),2025,5.3
Acceso a infraestructura comercial y profesional,2021,5.4
Acceso a infraestructura comercial y profesional,2022,5.2
Acceso a infraestructura comercial y profesional,2023,5.3
Acceso a infraestructura comercial y profesional,2024,5.4
Acceso a infraestructura comercial y profesional,2025,5.3
Acceso a infraestructura física y de servicios,2021,5.6
Acceso a infraestructura física y de servicios,2022,6.0
Acceso a infraestructura física y de servicios,2023,5.8
Acceso a infraestructura física y de servicios,2024,5.9
Acceso a infraestructura física y de servicios,2025,6.2
Programas gubernamentales,2021,6.3
Programas gubernamentales,2022,5.7
Programas gubernamentales,2023,6.1
Programas gubernamentales,2024,6.2
Programas gubernamentales,2025,6.6
