indicador,sexo,colectivo,pct
Oportunidades,Mujer,Población involucrada,40.7
Oportunidades,Mujer,Población no involucrada,30.5
Oportunidades,Hombre,Población involucrada,47.1
Oportunidades,Hombre,Población no involucrada,38.1
Habilidades,Mujer,Población involucrada,76.8
Habilidades,Mujer,Población no involucrada,45.0
Habilidades,Hombre,Población involucrada,82.2
Habilidades,Hombre,Población no involucrada,53.2
Miedo al fracaso,Mujer,Población involucrada,41.2
Miedo al fracaso,Mujer,Población no involucrada,62.7
Miedo al fracaso,Hombre,Población involucrada,34.1
Miedo al fracaso,Hombre,Población no involucrada,51.7
Modelos de referencia,Mujer,Población involucrada,66.7
Modelos de referencia,Mujer,Población no involucrada,52.8
Modelos de referencia,Hombre,Población involucrada,74.1
Modelos de referencia,Hombre,Población no involucrada,54.7
