indicador,provincia,colectivo,pct
Oportunidades,Badajoz,Población involucrada,39.3
Oportunidades,Badajoz,Población no involucrada,35.8
Oportunidades,Cáceres,Población involucrada,45.0
Oportunidades,Cáceres,Población no involucrada,31.9
Habilidades,Badajoz,Población involucrada,80.1
Habilidades,Badajoz,Población no involucrada,50.7
Habilidades,Cáceres,Población involucrada,78.6
Habilidades,Cáceres,Población no involucrada,46.3
Miedo al fracaso,Badajoz,Población involucrada,42.7
Miedo al fracaso,Badajoz,Población no involucrada,58.8
Miedo al fracaso,Cáceres,Población involucrada,27.8
Miedo al fracaso,Cáceres,Población no involucrada,53.4
Modelos de referencia,Badajoz,Población involucrada,71.4
Modelos de referencia,Badajoz,Población no involucrada,55.3
Modelos de referencia,Cáceres,Población involucrada,68.5
Modelos de referencia,Cáceres,Población no involucrada,51.2
