indicador,ambito,pct
Buenas oportunidades en los próximos 6 meses,Extremadura,35.4
Buenas oportunidades en los próximos 6 meses,Cáceres,33.7
Buenas oportunidades en los próximos 6 meses,Badajoz,36.4
"Conocimientos, habilidades y experiencia",Extremadura,53.7
"Conocimientos, habilidades y experiencia",Cáceres,50.8
"Conocimientos, habilidades y experiencia",Badajoz,55.3
Miedo al fracaso,Extremadura,54.3
Miedo al fracaso,Cáceres,50.7
Miedo al fracaso,Badajoz,56.3
Conoce a un emprendedor reciente,Extremadura,56.2
Conoce a un emprendedor reciente,Cáceres,57.7
Conoce a un emprendedor reciente,Badajoz,53.5
Emprender es buena opción profesional,Extremadura,45.6
Emprender es buena opción profesional,Cáceres,46.2
Emprender es buena opción profesional,Badajoz,45.3
Difusión del emprendimiento en medios,Extremadura,48.1
Difusión del emprendimiento en medios,Cáceres,46.4
Difusión del emprendimiento en medios,Badajoz,49.1
Triunfar da buen estatus social,Extremadura,58.6
Triunfar da buen estatus social,Cáceres,61.4
Triunfar da buen estatus social,Badajoz,57.0
Facilidad para iniciar un negocio,Extremadura,29.4
Facilidad para iniciar un negocio,Cáceres,27.4
Facilidad para iniciar un negocio,Badajoz,30.6
